673,Alan Henderson,30,20,10,0.667,17.2,2.6,5.4,0.475,0.0,0.0,0.0,1.5,2.5,0.6,1.6,2.3,3.9,0.8,1.0,0.7,0.2,0.5,2.3,0.0,6.6,-2.7,2,0
292,Anthony Miller,1,0,1,0.0,14.6,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,-14.0,0,0
363,Christian Laettner,82,56,26,0.683,39.3,6.7,13.8,0.486,0.4,1.1,0.352,4.4,5.4,0.816,2.6,6.2,8.8,2.7,2.7,1.2,0.8,0.8,3.1,0.0,18.1,7.1,31,0
241,Darrin Hancock,14,11,3,0.786,6.5,0.9,1.9,0.481,0.0,0.0,0.0,0.6,0.9,0.667,0.2,0.7,0.9,0.5,0.5,0.5,0.1,0.2,0.4,0.0,2.4,-0.1,0,0
308,Derrick Alston,2,1,1,0.5,5.3,0.0,2.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5,0,0
87,Dikembe Mutombo,80,54,26,0.675,38.2,4.8,9.0,0.526,0.0,0.0,0.0,3.8,5.4,0.705,3.4,8.3,11.6,1.4,2.3,0.6,3.3,0.7,2.9,0.0,13.3,5.4,43,0
671,Donnie Boyce,22,17,5,0.773,7.3,1.0,2.9,0.333,0.1,0.7,0.125,0.5,1.0,0.5,0.3,0.4,0.7,0.6,0.7,0.5,0.2,0.4,0.7,0.0,2.5,-1.3,0,0
695,Eldridge Recasner,71,48,23,0.676,17.5,2.1,4.9,0.423,0.8,2.0,0.414,0.7,0.8,0.879,0.5,1.1,1.6,1.3,0.9,0.5,0.1,0.3,1.3,0.0,5.7,-0.5,0,0
1080,Henry James,53,39,14,0.736,18.3,2.4,5.8,0.41,1.4,3.4,0.422,0.6,0.7,0.833,0.5,1.0,1.5,0.4,0.5,0.2,0.0,0.2,1.8,0.0,6.7,0.5,0,0
1096,Ivano Newbill,72,49,23,0.681,12.2,0.6,1.3,0.44,0.0,0.0,0.0,0.3,0.7,0.385,1.1,1.8,2.8,0.3,0.6,0.4,0.2,0.2,1.5,0.0,1.4,0.1,0,0
468,Jon Barry,58,38,20,0.655,17.3,1.7,4.2,0.407,0.8,2.1,0.387,0.6,0.8,0.804,0.4,1.3,1.7,2.0,1.0,0.9,0.1,0.2,0.9,0.0,4.9,1.8,0,0
80,Ken Norman,17,11,6,0.647,13.4,1.6,5.5,0.287,0.4,2.2,0.158,0.2,0.7,0.333,0.5,1.8,2.3,0.7,1.1,0.4,0.2,0.2,1.0,0.0,3.8,-1.9,0,0
302,Mookie Blaylock,78,53,25,0.679,40.2,6.4,14.9,0.432,2.8,7.7,0.366,1.7,2.2,0.753,1.5,3.8,5.3,5.9,2.4,2.7,0.3,0.3,1.8,0.0,17.4,7.5,14,0
968,Priest Lauderdale,35,26,9,0.743,5.4,1.4,2.5,0.551,0.0,0.0,0.0,0.4,0.7,0.565,0.5,0.8,1.2,0.3,1.1,0.0,0.3,0.1,1.1,0.0,3.2,-0.4,0,0
120,Steven Smith,72,50,22,0.694,40.2,6.8,15.9,0.429,1.8,5.4,0.335,4.6,5.5,0.847,1.3,2.1,3.3,4.2,2.4,0.9,0.3,0.6,2.3,0.0,20.1,4.8,2,0
895,Tyrone Corbin,70,49,21,0.7,33.9,3.6,8.6,0.422,1.1,3.0,0.356,1.2,1.5,0.796,1.1,3.1,4.2,1.8,1.2,1.3,0.1,0.5,2.3,0.0,9.5,6.0,1,0
416,Willie Burton,24,15,9,0.625,16.7,1.6,4.8,0.336,0.5,1.9,0.283,2.4,2.8,0.838,0.5,1.3,1.7,0.5,1.1,0.3,0.1,0.5,2.2,0.0,6.2,-2.3,0,0
